actor,classify,count,director,image,image_url,inq,last_updated,play,score,title1,title2,title3
蒂姆·罗宾斯TimRobbins/...,1994/美国/犯罪剧情,1169408人评价,弗兰克·德拉邦特FrankDarabont,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,希望让人自由。,,[可播放],9.6,肖申克的救赎,TheShawshankRedemption,/月黑高飞(港)/刺激1995(台)
张国荣LeslieCheung/张丰毅FengyiZha...,1993/中国大陆香港/剧情爱情同性,855576人评价,陈凯歌KaigeChen,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,风华绝代。,,[可播放],9.6,霸王别姬,None,/再见，我的妾/FarewellMyConcubine
让·雷诺JeanReno/娜塔莉·波特曼...,1994/法国/剧情动作犯罪,1078677人评价,吕克·贝松LucBesson,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,怪蜀黍和小萝莉不得不说的故事。,,[可播放],9.4,这个杀手不太冷,Léon,/杀手莱昂/终极追杀令(台)
TomHanks/RobinWrightPenn/GarySinise,1994/美国/剧情爱情,922502人评价,RobertZemeckis,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,一部美国近现代史。,,[可播放],9.4,阿甘正传,ForrestGump,/福雷斯特·冈普
罗伯托·贝尼尼RobertoBeni...,1997/意大利/剧情喜剧爱情战争,538564人评价,罗伯托·贝尼尼RobertoBenigni,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,最美的谎言。,,[可播放],9.5,美丽人生,Lavitaèbella,/一个快乐的传说(港)/LifeIsBeautiful
莱昂纳多·迪卡普里奥Leonardo...,1997/美国/剧情爱情灾难,858469人评价,詹姆斯·卡梅隆JamesCameron,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,失去的才是永恒的。 ,,[可播放],9.3,泰坦尼克号,Titanic,/铁达尼号(港/台)
柊瑠美RumiHîragi/入野自由Miy...,2001/日本/剧情动画奇幻,854227人评价,宫崎骏HayaoMiyazaki,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,最好的宫崎骏，最好的久石让。 ,,,9.3,千与千寻,千と千尋の神隠し,/神隐少女(台)/SpiritedAway
连姆·尼森LiamNeeson...,1993/美国/剧情历史战争,485337人评价,史蒂文·斯皮尔伯格StevenSpielberg,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,拯救一个人，就是拯救整个世界。,,[可播放],9.5,辛德勒的名单,Schindler'sList,/舒特拉的名单(港)/辛德勒名单
莱昂纳多·迪卡普里奥Le...,2010/美国英国/剧情科幻悬疑冒险,942472人评价,克里斯托弗·诺兰ChristopherNolan,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,诺兰给了我们一场无法盗取的梦。,,[可播放],9.3,盗梦空间,Inception,/潜行凶间(港)/全面启动(台)
本·贝尔特BenBurtt/艾丽...,2008/美国/爱情科幻动画冒险,623888人评价,安德鲁·斯坦顿AndrewStanton,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,小瓦力，大人生。,,[可播放],9.3,机器人总动员,WALL·E,/瓦力(台)/太空奇兵·威E(港)
